sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2023 PPR  1551191","2023 PPR  1551191","","15/08/2022","**","","-199.00","0.00","NZD","0.00","2023","202301","PPR","1551191 ITR","","01/07/2022","01/07/2022","ACE.006901162.0000002","2023.PPR.1551191","","0.00","","CG Invoices to be received account"
"","2023 PPR  1552405","2023 PPR  1552405","","15/08/2022","**","","-398.00","0.00","NZD","0.00","2023","202301","PPR","1552405 ITR","","04/07/2022","04/07/2022","ACE.006902019.0000004","2023.PPR.1552405","","0.00","","CG Invoices to be received account"
"","2023 PPR  1552406","2023 PPR  1552406","","15/08/2022","**","","-398.00","0.00","NZD","0.00","2023","202301","PPR","1552406 ITR","","04/07/2022","04/07/2022","ACE.006902019.0000006","2023.PPR.1552406","","0.00","","CG Invoices to be received account"
"","2023 PPR  1552856","2023 PPR  1552856","","15/08/2022","**","","-199.00","0.00","NZD","0.00","2023","202301","PPR","1552856 ITR","","05/07/2022","05/07/2022","ACE.006902264.0000002","2023.PPR.1552856","","0.00","","CG Invoices to be received account"
"","2023 PPR  1555842","2023 PPR  1555842","","15/08/2022","**","","-199.00","0.00","NZD","0.00","2023","202301","PPR","1555842 ITR","","11/07/2022","11/07/2022","ACE.006904034.0000002","2023.PPR.1555842","","0.00","","CG Invoices to be received account"
"","2023 PPR  1555850","2023 PPR  1555850","","15/08/2022","**","","-398.00","0.00","NZD","0.00","2023","202301","PPR","1555850 ITR","","11/07/2022","11/07/2022","ACE.006904038.0000002","2023.PPR.1555850","","0.00","","CG Invoices to be received account"
"","2023 PPR  1555854","2023 PPR  1555854","","15/08/2022","**","","-199.00","0.00","NZD","0.00","2023","202301","PPR","1555854 ITR","","11/07/2022","11/07/2022","ACE.006904043.0000002","2023.PPR.1555854","","0.00","","CG Invoices to be received account"
"","2023 PPR  1555860","2023 PPR  1555860","","15/08/2022","**","","-199.00","0.00","NZD","0.00","2023","202301","PPR","1555860 ITR","","11/07/2022","11/07/2022","ACE.006904045.0000002","2023.PPR.1555860","","0.00","","CG Invoices to be received account"
"","2023 PPR  1555861","2023 PPR  1555861","","15/08/2022","**","","-199.00","0.00","NZD","0.00","2023","202301","PPR","1555861 ITR","","11/07/2022","11/07/2022","ACE.006904050.0000002","2023.PPR.1555861","","0.00","","CG Invoices to be received account"
"","2023 PPR  1556866","2023 PPR  1556866","","15/08/2022","**","","-199.00","0.00","NZD","0.00","2023","202301","PPR","1556866 ITR","","13/07/2022","13/07/2022","ACE.006904894.0000002","2023.PPR.1556866","","0.00","","CG Invoices to be received account"
